Roll Angle of Motion Sensor,Pitch Angle of Motion Sensor,Yaw Angle of Motion Sensor,Velocity in Bow Direction of Motion Sensor,Roll Velocity of Motion Sensor,Pitch Velocity of Motion Sensor,Salinity,Temperature,Depth,Velocity,Thrust in X-axis,Thrust in Y-axis,Thrust in Z-axis,Moment about X-axis,Moment about Y-axis,Moment about Z-axis,Oxygen Concentration,Carbon Dioxide Concentration,Cabin Pressure,Cabin Temperature,Cabin Humidity,Emergency Hydraulic Source Pressure,Backup 2,Backup 3,Label
0.004340395,-0.001058037,-0.028134022,-0.031372348,0.009822627,-0.01111595,-0.00501963,0.012775365,0.00530998,-0.020047382,0.021770205,0.008170853,-0.047796129,-0.027514577,-0.009164266,0.009655944,-0.017290697,0.01633596,0.022496351,-0.000713236,0.017480761,-0.024671444,0.020377767,-0.027986647,2
0.003646622,-0.030183863,-0.001795648,-0.032644491,0.01065931,-0.022401039,-5.63E-05,-0.004198831,-0.000492853,0.010492307,0.004147488,0.00461002,-0.008854787,0.017518151,-0.013942892,-0.028588872,0.034871506,0.000445589,-0.015224125,-0.004117361,-0.005309859,-0.016363629,0.025278707,-0.002003415,2
0.014614026,-0.010958461,0.008826896,0.005303734,-0.008219959,0.027656819,-0.007853631,-0.012685511,0.016058772,0.002993566,-0.013270002,-0.017143382,0.005761399,0.040940828,0.011279098,0.000217687,0.021379948,0.02783978,0.023165206,0.006010546,-0.004464334,-0.004257956,0.024297442,-0.053570431,2
-0.06838608,0.02454319,-0.016866218,0.018559849,-0.023286984,-0.008844633,0.004151949,-0.02887588,-0.015554086,0.008603648,-0.006734436,-0.004848548,-0.007515883,-0.004225564,-0.016375819,-0.026716364,-0.008680313,0.008435207,-0.001108023,0.048961925,-0.004274311,-0.003327086,0.029574941,0.040212637,2
0.011953261,-0.037862203,0.009065527,-0.010536981,0.009408321,0.005582262,-0.010779832,0.020479222,0.030752484,0.000975685,0.018840108,0.027278106,-0.015038554,0.008888795,-0.012307529,0.006915115,0.000365413,0.032395785,-0.063969374,-0.008756507,0.012920684,-0.0305855,0.000959894,-0.00762432,2
-0.017598814,0.023940719,-0.024285466,-0.016681351,-0.012287113,0.017530697,-0.03160559,0.027784932,0.007540506,-0.022653956,0.029501134,0.005583795,-0.015674187,-0.039582426,-0.003825391,-0.012871816,0.025204949,0.034361924,-0.000238271,0.026071207,0.001967154,0.030469397,-0.032228816,-0.024934305,2
0.017438066,-0.004334228,-0.033424083,0.024298845,-0.009329278,-0.007616666,-0.009517919,0.00119555,-0.044873035,-0.01713791,0.008364772,0.00348995,0.013801655,-0.020811757,-0.030333258,0.021855823,0.016089038,0.01209971,0.015983761,0.009914213,-0.032017239,0.004425858,0.023658325,0.024920299,2
-0.006502965,0.022536695,-0.010148819,0.002651227,0.042897856,-0.003718981,-0.015740227,0.00992312,-0.038209815,0.041173328,0.015326799,-0.005348528,0.019662679,-0.019556788,0.017414967,-0.04790553,0.006284962,-0.00117376,-0.02014066,0.00876067,-0.033048091,-0.013719867,-0.012380876,0.016988065,2
0.062257881,-0.010296843,0.019504176,0.007381474,-0.003948541,0.016217474,0.022996752,-0.001125979,0.006844912,-0.009292775,-0.054293939,0.014528294,-0.016415906,0.013339915,-0.013909053,-0.005589733,0.013160643,0.004140932,-0.021501036,-0.029450808,-0.017695505,0.005409533,-0.021977978,-0.05359639,2
-0.000525238,-0.022973834,-0.022648675,0.006497679,-0.007190371,-0.018569205,0.003680785,0.018519578,-0.004732965,-0.022191992,0.025014823,-0.019786278,-0.01156091,-0.006002113,-0.012884806,0.010920905,-0.018833878,0.001183279,0.017795678,-0.008131278,-0.01436797,-0.001212732,0.017047482,0.012513492,2
