0,1,2,3,4,5,6,7,8
3.90138149,0.43144225,-0.017488,0.0002146,-0.0017881,0.0012398,-0.0093222,0.0091434,0.0
3.42678785,0.48025845,-0.0229478,0.0065804,0.0149846,-0.0020623,-0.0005364,0.00211,0.0
3.72753501,0.39348005,-5.96e-05,-0.0024915,0.0062585,-0.0072598,-0.0120401,-0.0045538,0.0
3.58720422,0.43176415,-0.005734,-0.0009894,0.006485,-0.0020504,-0.0134468,0.0037193,0.0
3.56711745,0.53041575,-0.0213027,0.0179887,0.0207305,0.0044227,-0.0079155,0.0151992,0.0
3.61296296,0.41574835,-0.0065923,0.0017762,-0.0067711,0.0082612,-0.0169396,0.0126004,0.0
3.62922072,0.394094,-0.0171661,-0.0030518,-0.0078082,0.0010252,-0.0118375,0.0047565,0.0
3.58551383,0.45624375,-0.0112534,0.0137329,0.0216961,-0.0019908,-0.0019193,0.0096083,0.0
3.57925177,0.40914415,0.0007987,0.0001431,-0.0012398,0.009501,0.0007868,0.0158787,0.0
3.70454073,0.3832698,-0.0090599,0.0026584,-0.0074625,-0.0018954,-0.0140786,0.0028729,0.0
3.57649446,0.44046045,-0.0109553,0.0058651,0.0311494,-0.0089288,-0.0047565,0.0093341,0.0
3.59031677,0.44029355,-0.012362,-0.0063896,0.0205755,-0.0023127,0.0063777,0.01266,0.0
3.64647508,0.3665209,-0.0060081,-0.0002027,-0.0140309,-0.0018239,-0.006032,0.0156045,0.0
3.59258056,0.46916605,-0.0054955,0.0084043,0.0086308,0.0018597,-0.0006914,0.013721,0.0
3.56500745,0.49646495,-0.010097,0.0101566,0.0135422,-0.0043392,-0.008738,-0.0092268,0.0
3.63889098,0.35686495,-0.0043035,-0.0001311,-0.0135899,-0.0048876,-0.0065923,0.0067234,0.0
3.62723827,0.43817165,-0.0121832,0.0052094,0.0038981,-0.0013828,-0.0044465,0.009501,0.0
3.57733488,0.5007386,-0.0093937,0.0057578,0.0114679,0.0024438,-0.0137329,-0.0036716,0.0
3.65735292,0.37726165,-0.0001907,-0.0003457,-0.0107884,0.008297,-0.0010848,0.0033617,0.0
3.64047527,0.40985345,-0.0215173,0.0049591,0.0009894,-0.0013947,0.0006557,0.002718,0.0
3.55805516,0.5021274,-0.0091195,0.0046015,0.0189781,-0.0134826,0.0011921,0.0068665,0.0
3.61033201,0.4112661,0.0040889,0.0159264,0.0080705,-0.0057101,-0.0128865,0.0022888,0.0
