att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
1.025529,1.082983,1.047494,0.867199,1.140219,0.868349,0.875117,0.873036,0.875907,1.029193,2
0.279496,-0.196894,-0.116369,0.249817,0.088644,0.262178,-0.141882,-0.222142,0.360239,-0.016838,2
0.999441,0.999971,1.00007,1.00012,0.999539,1.000193,0.999508,0.999236,0.999471,0.999497,3
-0.038032,-0.101822,-0.024516,-0.096214,0.140586,-0.166461,0.033308,0.05595,-0.137071,0.054977,1
1.045558,1.019473,1.005694,1.025848,1.008822,0.999358,0.922484,0.979742,0.936372,0.99881,0
-0.357464,-0.760606,0.477843,0.538446,-0.08052,-0.091238,-0.144444,-0.475677,-0.327337,0.485832,0
1.011714,0.98841,1.020362,1.012797,1.014175,0.9858,1.005795,0.979295,1.00553,0.987692,1
0.001296,0.066523,-0.047356,0.028758,0.044245,-0.051395,0.015972,-0.002477,-0.054661,0.015998,2
1.032484,0.848317,0.84868,1.063922,0.921845,1.03694,1.12421,0.94807,1.035039,0.926141,3
-0.032604,-0.060043,0.060336,0.101533,-0.119793,-0.011105,0.095155,0.105518,-0.114861,0.069262,1
1.376228,0.669811,1.065059,1.050718,1.122117,1.306963,0.808929,0.810439,1.155906,0.877692,1
0.059327,0.158472,0.043791,0.390845,-0.213277,-0.261049,-0.29471,-0.519624,-0.108857,-0.174392,3
1.254006,0.820998,1.35205,1.12062,1.396723,0.71944,1.235546,0.683311,0.576519,0.887727,1
0.800627,-0.427604,-0.166852,0.152025,-0.066932,-0.090486,0.221806,-0.122562,0.239998,-0.161359,1
1.001893,1.032739,1.04156,1.00493,0.983,0.980554,0.975328,1.018809,0.975026,0.958613,2
-0.152113,-0.070393,-0.054543,0.243354,-0.409594,-0.218061,-0.269947,0.25117,0.316051,0.053802,1
1.085029,1.115092,0.835945,0.637402,1.365458,0.805117,0.774042,0.836454,0.893157,1.297958,3
0.01332,-0.004836,0.012124,-0.003109,0.009153,0.013399,-0.005929,0.00633,0.010944,-0.005447,1
1.054102,1.066148,0.981168,0.938331,0.997029,1.030053,1.088936,0.978868,0.963876,0.983335,0
-0.087031,-0.017506,0.065603,-0.148578,0.050208,-0.058168,0.09978,-0.108833,-0.014724,-0.05697,2
0.998812,1.009853,0.989537,1.021613,0.975522,1.019757,1.025416,1.022155,1.023884,1.001603,2
-0.186294,0.253204,-0.202083,-0.157045,0.076119,0.24856,-0.168559,0.184517,-0.282018,0.299331,3
1.006952,1.022363,0.979289,1.023442,1.016256,0.985457,1.017021,0.987543,1.007168,1.01104,3
-0.001101,-0.025273,0.046101,-0.006226,0.013733,-0.039765,-0.039531,0.045727,0.044551,0.028167,2
1.214328,0.694968,1.568025,1.065338,1.29736,0.532989,0.775051,0.321906,0.630582,1.437147,1
0.074584,0.00364,-0.082306,0.046738,0.008354,0.003375,0.593217,0.069812,-0.07018,-0.065029,0
1.019631,1.048356,0.948774,1.008891,1.048369,0.977834,0.029121,0.992891,0.945537,1.015636,0
-0.062647,0.014616,-0.004884,-0.02221,0.056583,0.042358,-0.058746,0.075263,-0.065073,0.078847,1
1.090717,1.180798,0.882686,1.060786,0.955435,1.057427,0.943025,0.833855,0.931945,0.938084,3
0.000282,0.003809,0.004092,0.004007,-0.003012,-0.003084,0.003895,0.004575,0.002181,0.002942,2
0.958171,0.930796,0.972485,1.135123,0.84984,1.310788,1.177444,1.177177,1.016878,1.373925,3
0.023655,-0.166237,0.176379,0.13871,-0.310661,0.013678,0.222789,0.021203,0.15843,0.020733,3
1.023443,0.98422,1.047662,0.973697,0.988245,1.051521,0.979801,0.999042,1.051959,1.019572,3
-0.100413,-0.073516,-0.000132,0.046367,0.131485,0.070039,0.036784,0.096712,0.051492,-0.028841,1
1.001362,1.020444,0.998099,0.985138,0.982954,1.019795,0.996824,0.978204,1.010963,1.007873,1
0.148048,-0.306374,-0.148217,0.185752,-0.204591,0.061983,-0.22609,0.074993,-0.008811,0.279632,2
1.510997,1.612989,1.030616,0.327315,0.89265,0.080801,1.876454,0.169118,0.270066,1.762679,1
0.030882,0.002488,-0.007355,0.021899,0.044554,0.041486,0.007479,0.029467,-0.034567,0.050828,3
0.999381,0.998425,1.001553,1.001098,1.001264,0.99924,1.001089,1.000567,0.9989,1.001036,3
-0.065759,0.075143,0.012584,0.018455,-0.004919,-0.050974,0.120515,-0.035173,0.016765,0.028496,0
1.526722,0.456038,1.508761,1.087843,1.410308,0.674123,1.37352,1.361338,1.539315,1.133924,1
-0.005312,-0.00983,0.009222,-0.008232,-0.005995,-0.005539,-0.003246,0.007283,-0.01046,0.007427,1
1.030159,0.953865,1.035616,0.938312,1.008668,0.996679,1.045685,0.968884,1.074366,1.061022,2
-0.085016,0.016661,0.071153,0.013155,0.000868,-0.054535,-0.034619,-0.014859,0.073108,-0.041717,0
1.018286,1.635435,1.223706,0.655368,1.156244,1.19325,1.419222,1.328857,0.751856,1.194562,0
0.141744,-0.045858,-0.121879,-0.102448,-0.039172,0.160159,0.038533,0.062988,-0.097789,-0.031581,0
1.130921,1.178931,-0.122408,1.196252,0.997798,1.268943,1.088077,1.268824,1.090444,1.098936,2
0.003819,-0.00562,-0.002015,-0.004175,-0.002646,0.004314,0.001506,0.003589,-0.002822,-0.002183,1
0.998213,1.001596,0.999794,1.001164,1.000021,0.998513,1.000019,1.000678,0.998496,1.001832,3
-0.418543,0.088587,0.247749,-0.051858,-0.099272,-0.204731,0.331107,-0.289305,0.380967,-0.356011,1
1.122292,0.950406,0.897846,0.892264,0.942044,0.89033,0.959724,1.093236,1.010748,1.125742,3
0.097301,-0.166404,-0.286402,0.216474,0.146779,-0.084666,0.038837,-0.168045,-0.059967,0.086341,2
1.092932,0.905713,1.116803,1.078654,0.891877,0.893941,0.8726,1.066924,0.91059,1.119265,1
0.02835,0.070702,0.07052,0.086961,-0.048831,-0.044308,-0.029704,0.246477,0.086927,0.064315,3
0.895078,0.813576,1.277579,0.762648,0.863315,1.247251,1.155251,1.275783,1.225223,0.669179,3
0.059686,-0.359736,0.048998,-0.352341,-0.160277,0.135897,-0.013041,-0.342834,-0.090729,0.339014,3
1.104132,1.223134,0.733642,1.252136,1.314144,0.780507,0.848833,0.997909,0.980907,0.913414,3
-0.177999,0.088179,0.199881,0.169714,0.14437,-0.275579,0.090341,-0.102201,0.180883,0.117202,3
1.30556,1.307781,1.242312,0.921143,1.010872,0.958832,1.2775,0.65108,1.047369,1.356456,1
0.064933,0.147262,-0.171168,0.119155,-0.12806,0.127956,-0.027058,-0.070344,0.057773,-0.156053,1
0.980185,0.936955,0.923674,0.993197,1.050129,0.944209,0.960702,1.019627,1.067758,0.981165,0
0.638984,0.08621,0.05288,-0.020501,-0.055632,-0.046081,0.037722,0.075682,0.004666,-0.005123,1
